id,timestamp,endpoint,user_id,session_id,prompt,prompt_version,model,latency_ms,input_tokens,output_tokens,total_tokens,cost,status_code,feedback
af6e4a38-62b3-407d-8189-caf813951eef,2025-11-03T09:24:53.133164,/llmops/demo,demo_user,30eb9ed3-dbc9-4f1d-b250-bb7478e30dc3,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,4578,47,121,168,8.4e-05,200,
958de122-231e-42fb-916c-0e87a866dc94,2025-11-03T09:24:55.524762,/llmops/demo,demo_user,ab04a546-66a5-4a57-b746-aaee5c2a3341,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,2389,47,104,151,7.6e-05,200,
d2a9adba-5831-40c9-8366-3167cd95011d,2025-11-03T09:24:57.713287,/llmops/demo,demo_user,464e2809-e699-4295-ac67-7715583481dc,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,2185,47,97,144,7.2e-05,200,
fdb1f0f4-afb4-48b0-a497-58cfbe485fd5,2025-11-03T09:25:02.116353,/llmops/demo,demo_user,52e0f9fb-33d1-4772-b758-5a9b257f2d1e,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,4400,63,122,185,9.2e-05,200,
3480851d-48e7-409a-bb20-3e9ebeb7e0d9,2025-11-03T09:25:05.996400,/llmops/demo,demo_user,0ea2a484-acac-40c0-8226-13c3cd2c9b14,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,3878,63,124,187,9.3e-05,200,
2de138b3-e0b5-4137-81f8-b08427efecd4,2025-11-03T09:25:10.958890,/llmops/demo,demo_user,4bdb1a8f-567f-482d-b3a3-784cce4fc726,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,4961,63,127,190,9.5e-05,200,
97d05e74-aa3d-4087-975a-e9b7d39101e7,2025-11-03T09:39:49.466599,/llmops/demo,demo_user,fa5e651d-91a8-4e16-b20d-926dba445888,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,4920,47,118,165,8.2e-05,200,
a5db27da-e7d0-4cf1-8afd-b6873de9ec75,2025-11-03T09:39:52.402448,/llmops/demo,demo_user,8f7a30b2-9db0-4e7f-8fe5-2e3c7f062af6,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,2926,47,117,164,8.2e-05,200,
9f3db11c-7eb4-4c9f-bdb9-be6501ff8f6d,2025-11-03T09:39:55.567278,/llmops/demo,demo_user,90fe2d24-1371-47a4-86ec-b2c3d1b8bd57,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,3161,47,109,156,7.8e-05,200,
4accf704-983f-44d2-8579-0a655f4f35fb,2025-11-03T09:39:59.792883,/llmops/demo,demo_user,b9bbc8f2-6b6f-4eee-9a47-946bbef7e9b3,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,4222,63,130,193,9.7e-05,200,
51045bad-e895-4331-b78b-2737dc8db874,2025-11-03T09:40:02.607929,/llmops/demo,demo_user,7a8fa345-9d41-4a98-bddc-0a1695da4e66,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,2812,63,118,181,9.1e-05,200,
2ec4ec39-3ce0-4bbe-a976-7b82193b7be2,2025-11-03T09:40:05.462573,/llmops/demo,demo_user,d19690cf-ed27-473d-a780-8cfe3b01ff4a,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,2852,63,135,198,9.9e-05,200,
4daf7eac-44e2-4020-9057-543c75e2fc1f,2025-11-03T11:28:12.033789,/llmops/demo,demo_user,2eedafb4-aa75-4e5e-8328-4de00a3982ca,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,3113,47,105,152,7.6e-05,200,
79abd102-9cb7-49ad-ace7-522501051a83,2025-11-03T11:28:14.943613,/llmops/demo,demo_user,cd70670e-f0fb-45cf-bcbe-84b41aca020d,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,2891,47,103,150,7.5e-05,200,
3213bc85-2f64-43f9-b6ca-ff18ac1f35fd,2025-11-03T11:28:18.037747,/llmops/demo,demo_user,c5b7fe29-e2ef-49aa-b8ac-8f0a7ea6322f,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,3092,47,118,165,8.2e-05,200,
fbf4dc33-0838-4036-bee9-3611f3439506,2025-11-03T11:28:22.276691,/llmops/demo,demo_user,6ed09225-7792-40f4-9b38-26a1b4e12344,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,4237,63,123,186,9.3e-05,200,
6b345f8b-0066-4c61-af18-58e06f9ddfe1,2025-11-03T11:28:25.160570,/llmops/demo,demo_user,b20f3c68-3b8e-4e68-964b-4e9336b397c1,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,2881,63,132,195,9.8e-05,200,
c14b3be2-fb13-4c07-93ce-e6f83369d635,2025-11-03T11:28:28.617761,/llmops/demo,demo_user,7138d3eb-d8c0-47b9-9c6f-4bac3939b32e,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,3452,63,114,177,8.8e-05,200,
